9.14636 -0.102827 345.45 -7.14522 -0.891406 -219.65
9.13391 -0.103716 343.213 -8.17782 -0.202009 -219.95
9.11216 -0.102941 339.845 -9.68288 0.838326 -220.475
9.09564 -0.10102 337.591 -10.6529 1.52741 -220.875
9.06798 -0.0960611 334.192 -12.0508 2.53907 -221.549
9.03701 -0.0886899 330.772 -13.3717 3.50513 -222.308
9.01462 -0.0825016 328.478 -14.2046 4.1126 -222.86
8.97858 -0.0714457 325.015 -15.3751 4.95107 -223.755
8.95303 -0.0629949 322.69 -16.0987 5.45059 -224.393
8.91259 -0.0489127 319.177 -17.0914 6.09124 -225.411
8.88435 -0.0387351 316.817 -17.687 6.43447 -226.128
8.8403 -0.0225776 313.248 -18.4737 6.80456 -227.255
8.80993 -0.0114044 310.849 -18.9226 6.94474 -228.038
8.76315 0.00559575 307.218 -19.4754 6.98122 -229.256
8.73129 0.0168653 304.776 -19.7594 6.88584 -230.092
8.68278 0.0332879 301.078 -20.052 6.56693 -231.378
8.65013 0.0436977 298.59 -20.1546 6.24249 -232.251
8.601 0.0581551 294.822 -20.1649 5.60129 -233.577
8.56833 0.0668353 292.286 -20.0734 5.08021 -234.468
8.51976 0.0781341 288.446 -19.7855 4.17634 -235.805
8.48786 0.0843753 285.862 -19.4921 3.50362 -236.691
8.44108 0.091594 281.95 -18.8989 2.4098 -238.003
8.41079 0.0948826 279.317 -18.4019 1.63644 -238.86
8.36703 0.0974098 275.334 -17.5063 0.432135 -240.109
8.33916 0.0974473 272.655 -16.8114 -0.38699 -240.912
8.29963 0.0950055 268.605 -15.6274 -1.61638 -242.059
8.27496 0.0917249 265.884 -14.7477 -2.42199 -242.781
8.24078 0.0843982 261.773 -13.3009 -3.58348 -243.788
8.21029 0.0743438 257.63 -11.7132 -4.65589 -244.693
8.19219 0.0662516 254.851 -10.5839 -5.30243 -245.234
8.16857 0.052283 250.662 -8.79633 -6.14058 -245.943
8.15529 0.0419327 247.856 -7.55003 -6.59475 -246.343
8.13925 0.0252198 243.633 -5.6132 -7.09196 -246.829
8.13121 0.0135321 240.809 -4.28589 -7.287 -247.073
8.12324 -0.00435473 236.565 -2.25656 -7.35729 -247.315
8.12068 -0.0162304 233.732 -0.88755 -7.2523 -247.393
8.12103 -0.0334862 229.481 1.17353 -6.87728 -247.382
8.12405 -0.0443536 226.648 2.54277 -6.49331 -247.29
8.13272 -0.0592903 222.405 4.57241 -5.74071 -247.027
8.14122 -0.0681305 219.582 5.89947 -5.13731 -246.769
8.15796 -0.0794157 215.361 7.83444 -4.10867 -246.262
8.1717 -0.0854825 212.558 9.07796 -3.35763 -245.849
8.19599 -0.0922172 208.372 10.8584 -2.16195 -245.12
8.21454 -0.0950581 205.596 11.9804 -1.33503 -244.566
8.24566 -0.0967789 201.458 13.5532 -0.0769228 -243.643
8.26846 -0.0962243 198.716 14.5215 0.758465 -242.972
8.30547 -0.0928782 194.634 15.8437 1.98141 -241.889
8.33184 -0.0890228 191.934 16.6334 2.76244 -241.123
8.37365 -0.0809396 187.916 17.6738 3.85894 -239.919
8.40284 -0.074125 185.26 18.2683 4.52657 -239.086
8.44826 -0.061994 181.311 19.0084 5.41089 -237.8
8.47945 -0.0527936 178.702 19.3998 5.91018 -236.926
8.52726 -0.0376374 174.825 19.8337 6.50464 -235.597
8.5759 -0.0212788 170.992 20.0858 6.89447 -234.261
8.60858 -0.00995989 168.461 20.1546 7.0326 -233.372
8.65765 0.00723481 164.7 20.1132 7.05089 -232.049
8.69021 0.0186043 162.216 19.9919 6.93915 -231.18
8.73854 0.0351294 158.524 19.675 6.59937 -229.901
8.77025 0.0455856 156.086 19.3772 6.2686 -229.07
8.81678 0.0601124 152.461 18.8072 5.63643 -227.861
8.84695 0.0688653 150.065 18.3487 5.13678 -227.084
8.89069 0.0803664 146.501 17.5499 4.2913 -225.967
8.9187 0.0868386 144.145 16.9474 3.67566 -225.257
8.95877 0.0946064 140.637 15.9454 2.69379 -224.25
8.98407 0.098428 138.315 15.216 2.01103 -223.618
9.01971 0.102052 134.856 14.0367 0.962037 -222.734
9.04183 0.103041 132.564 13.1978 0.25574 -222.19
9.07236 0.102377 129.147 11.8674 -0.7984 -221.442
9.09088 0.100519 126.881 10.9366 -1.48873 -220.991
9.11575 0.0956637 123.499 9.4816 -2.49066 -220.388
9.13033 0.0910992 121.254 8.47666 -3.12759 -220.036
9.1491 0.0823776 117.898 6.92407 -4.02158 -219.585
9.15948 0.0753991 115.668 5.86318 -4.56791 -219.336
9.17179 0.0633628 112.332 4.24059 -5.29785 -219.041
9.17778 0.0544143 110.112 3.14245 -5.71599 -218.898
9.18341 0.0398434 106.786 1.47835 -6.22586 -218.764
9.18491 0.02952 104.571 0.362284 -6.47953 -218.728
9.18375 0.0134138 101.248 -1.31384 -6.71867 -218.756
9.17852 -0.00305672 97.9226 -2.98264 -6.77714 -218.881
9.17278 -0.0140184 95.703 -4.08565 -6.71284 -219.018
9.16083 -0.0301012 92.3674 -5.71769 -6.46598 -219.303
